run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800; 0.02603
 10; 50; 1; 8192; 3800; 0.01178
 10; 50; 1; 8192; 3800; 0.01662
 10; 50; 1; 8192; 3800; 0.01154
 10; 50; 1; 8192; 3800; 0.01107
 10; 50; 1; 8192; 3800; 0.01131
 10; 50; 1; 8192; 3800; 0.01106
 10; 50; 1; 8192; 3800; 0.01101
 10; 50; 1; 8192; 3800; 0.01108
 10; 50; 1; 8192; 3800; 0.01112
 10; 50; 1; 4096; 3800; 0.01052
 10; 50; 1; 4096; 3800; 0.01052
 10; 50; 1; 4096; 3800; 0.01048
 10; 50; 1; 4096; 3800; 0.01046
 10; 50; 1; 4096; 3800; 0.01040
 10; 50; 1; 4096; 3800; 0.01046
 10; 50; 1; 4096; 3800; 0.01069
 10; 50; 1; 4096; 3800; 0.01840
 10; 50; 1; 4096; 3800; 0.01039
 10; 50; 1; 4096; 3800; 0.01047
 10; 50; 1; 2048; 3800; 0.01423
 10; 50; 1; 2048; 3800; 0.01047
 10; 50; 1; 2048; 3800; 0.01001
 10; 50; 1; 2048; 3800; 0.01686
 10; 50; 1; 2048; 3800; 0.01010
 10; 50; 1; 2048; 1070843470; 0.01006
 10; 50; 1; 2048; 1070839878; 0.01261
 10; 50; 1; 2048; 1070830769; 0.01000
 10; 50; 1; 2048; 1839818965; 0.00999
 10; 50; 1; 2048; 1071224794; 0.01587
 10; 50; 1; 1024; 3800; 0.00976
 10; 50; 1; 1024; 3800; 0.00958
 10; 50; 1; 1024; 3800; 0.00974
 10; 50; 1; 1024; 3800; 0.00956
 10; 50; 1; 1024; 3800; 0.01645
 10; 50; 1; 1024; 3800; 0.00958
 10; 50; 1; 1024; 3800; 0.00965
 10; 50; 1; 1024; 3800; 0.00952
 10; 50; 1; 1024; 3800; 0.00965
 10; 50; 1; 1024; 3800; 0.00949
 10; 50; 3; 8192; 4015; 0.06027
 10; 50; 3; 8192; 4015; 0.05625
 10; 50; 3; 8192; 4015; 0.05486
 10; 50; 3; 8192; 4015; 0.05480
 10; 50; 3; 8192; 4015; 0.05492
 10; 50; 3; 8192; 4015; 0.05505
 10; 50; 3; 8192; 4015; 0.05476
 10; 50; 3; 8192; 4015; 0.05468
 10; 50; 3; 8192; 4015; 0.05459
 10; 50; 3; 8192; 4015; 0.05463
 10; 50; 3; 4096; 4015; 0.05188
 10; 50; 3; 4096; 4015; 0.05178
 10; 50; 3; 4096; 4015; 0.05181
 10; 50; 3; 4096; 4015; 0.04712
 10; 50; 3; 4096; 4015; 0.05696
 10; 50; 3; 4096; 4015; 0.04851
 10; 50; 3; 4096; 4015; 0.05193
 10; 50; 3; 4096; 4015; 0.05182
 10; 50; 3; 4096; 4015; 0.05197
 10; 50; 3; 4096; 4015; 0.05175
 10; 50; 3; 2048; 4015; 0.05104
 10; 50; 3; 2048; 4015; 0.04664
 10; 50; 3; 2048; 4015; 0.04653
 10; 50; 3; 2048; 4015; 0.04717
 10; 50; 3; 2048; 4015; 0.05037
 10; 50; 3; 2048; 4015; 0.05015
 10; 50; 3; 2048; 4015; 0.04856
 10; 50; 3; 2048; 4015; 0.04486
 10; 50; 3; 2048; 4015; 0.04848
 10; 50; 3; 2048; 4015; 0.04502
 10; 50; 3; 1024; 4015; 0.04529
 10; 50; 3; 1024; 4015; 0.04483
 10; 50; 3; 1024; 4015; 0.04540
 10; 50; 3; 1024; 4015; 0.04511
 10; 50; 3; 1024; 4015; 0.04518
 10; 50; 3; 1024; 4015; 0.05354
 10; 50; 3; 1024; 4015; 0.04544
 10; 50; 3; 1024; 4015; 0.04628
 10; 50; 3; 1024; 4015; 0.04925
 10; 50; 3; 1024; 4015; 0.04500
