run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800; 0.06210
 10; 50; 1; 8192; 3800; 0.01302
 10; 50; 1; 8192; 3800; 0.01212
 10; 50; 1; 8192; 3800; 0.01192
 10; 50; 1; 8192; 3800; 0.01160
 10; 50; 1; 8192; 3800; 0.01240
 10; 50; 1; 8192; 3800; 0.01151
 10; 50; 1; 8192; 3800; 0.01156
 10; 50; 1; 8192; 3800; 0.01123
 10; 50; 1; 8192; 3800; 0.01142
 10; 50; 1; 4096; 3800; 0.01020
 10; 50; 1; 4096; 3800; 0.01005
 10; 50; 1; 4096; 3800; 0.00997
 10; 50; 1; 4096; 3800; 0.00991
 10; 50; 1; 4096; 3800; 0.01006
 10; 50; 1; 4096; 3800; 0.00999
 10; 50; 1; 4096; 3800; 0.01033
 10; 50; 1; 4096; 3800; 0.00985
 10; 50; 1; 4096; 3800; 0.00980
 10; 50; 1; 4096; 3800; 0.00981
 10; 50; 1; 2048; 3800; 0.00957
 10; 50; 1; 2048; 3800; 0.00950
 10; 50; 1; 2048; 3800; 0.00949
 10; 50; 1; 2048; 3800; 0.00948
 10; 50; 1; 2048; 3800; 0.00949
 10; 50; 1; 2048; 1070602327; 0.00939
 10; 50; 1; 2048; 3800; 0.00943
 10; 50; 1; 2048; 1070920619; 0.00940
 10; 50; 1; 2048; 3800; 0.00939
 10; 50; 1; 2048; 3800; 0.00941
 10; 50; 1; 1024; 3800; 0.00905
 10; 50; 1; 1024; 3800; 0.00900
 10; 50; 1; 1024; 3800; 0.00899
 10; 50; 1; 1024; 3800; 0.00894
 10; 50; 1; 1024; 3800; 0.00893
 10; 50; 1; 1024; 3800; 0.00893
 10; 50; 1; 1024; 3800; 0.00895
 10; 50; 1; 1024; 3800; 0.00897
 10; 50; 1; 1024; 3800; 0.00896
 10; 50; 1; 1024; 3800; 0.00900
 10; 50; 3; 8192; 4015; 0.08337
 10; 50; 3; 8192; 4015; 0.05639
 10; 50; 3; 8192; 4015; 0.05394
 10; 50; 3; 8192; 4015; 0.05440
 10; 50; 3; 8192; 4015; 0.05419
 10; 50; 3; 8192; 4015; 0.05470
 10; 50; 3; 8192; 4015; 0.05394
 10; 50; 3; 8192; 4015; 0.05344
 10; 50; 3; 8192; 4015; 0.05383
 10; 50; 3; 8192; 4015; 0.05341
 10; 50; 3; 4096; 4015; 0.05108
 10; 50; 3; 4096; 4015; 0.05008
 10; 50; 3; 4096; 4015; 0.05116
 10; 50; 3; 4096; 4015; 0.04604
 10; 50; 3; 4096; 4015; 0.05136
 10; 50; 3; 4096; 4015; 0.04649
 10; 50; 3; 4096; 4015; 0.05479
 10; 50; 3; 4096; 4015; 0.05205
 10; 50; 3; 4096; 4015; 0.05165
 10; 50; 3; 4096; 4015; 0.05089
 10; 50; 3; 2048; 4015; 0.05003
 10; 50; 3; 2048; 4015; 0.04615
 10; 50; 3; 2048; 4015; 0.04596
 10; 50; 3; 2048; 4015; 0.04584
 10; 50; 3; 2048; 4015; 0.04599
 10; 50; 3; 2048; 4015; 0.04914
 10; 50; 3; 2048; 4015; 0.04930
 10; 50; 3; 2048; 4015; 0.04485
 10; 50; 3; 2048; 4015; 0.04920
 10; 50; 3; 2048; 4015; 0.04515
 10; 50; 3; 1024; 4015; 0.04527
 10; 50; 3; 1024; 4015; 0.04454
 10; 50; 3; 1024; 4015; 0.04476
 10; 50; 3; 1024; 4015; 0.04452
 10; 50; 3; 1024; 4015; 0.04488
 10; 50; 3; 1024; 4015; 0.04414
 10; 50; 3; 1024; 4015; 0.04434
 10; 50; 3; 1024; 4015; 0.04416
 10; 50; 3; 1024; 4015; 0.04388
 10; 50; 3; 1024; 4015; 0.04381
 10; 50; 5; 8192; 12400; 0.17377
 10; 50; 5; 8192; 12400; 0.16639
 10; 50; 5; 8192; 12400; 0.16483
 10; 50; 5; 8192; 12400; 0.16996
 10; 50; 5; 8192; 12400; 0.16987
 10; 50; 5; 8192; 12400; 0.17127
 10; 50; 5; 8192; 12400; 0.17000
 10; 50; 5; 8192; 12400; 0.16862
 10; 50; 5; 8192; 12400; 0.16775
 10; 50; 5; 8192; 12400; 0.16856
 10; 50; 5; 4096; 12400; 0.15611
 10; 50; 5; 4096; 12400; 0.15591
 10; 50; 5; 4096; 12400; 0.15514
 10; 50; 5; 4096; 12400; 0.15471
 10; 50; 5; 4096; 12400; 0.15652
 10; 50; 5; 4096; 12400; 0.15776
 10; 50; 5; 4096; 12400; 0.15835
 10; 50; 5; 4096; 12400; 0.15888
 10; 50; 5; 4096; 12400; 0.15799
 10; 50; 5; 4096; 12400; 0.15835
 10; 50; 5; 2048; 12400; 0.15104
 10; 50; 5; 2048; 12400; 0.14990
 10; 50; 5; 2048; 12400; 0.14729
 10; 50; 5; 2048; 12400; 0.15307
 10; 50; 5; 2048; 12400; 0.15418
 10; 50; 5; 2048; 12400; 0.15265
 10; 50; 5; 2048; 12400; 0.15165
 10; 50; 5; 2048; 12400; 0.15223
 10; 50; 5; 2048; 12400; 0.15381
 10; 50; 5; 2048; 12400; 0.15147
 10; 50; 5; 1024; 12400; 0.15083
 10; 50; 5; 1024; 12400; 0.14830
 10; 50; 5; 1024; 12400; 0.15969
 10; 50; 5; 1024; 12400; 0.14935
 10; 50; 5; 1024; 12400; 0.15311
 10; 50; 5; 1024; 12400; 0.14908
 10; 50; 5; 1024; 12400; 0.15251
 10; 50; 5; 1024; 12400; 0.14861
 10; 50; 5; 1024; 12400; 0.15202
 10; 50; 5; 1024; 12400; 0.15534
