run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800; 0.07009
 10; 50; 1; 8192; 3800; 0.04429
 10; 50; 1; 8192; 3800; 0.04460
 10; 50; 1; 8192; 3800; 0.04429
 10; 50; 1; 8192; 3800; 0.04323
 10; 50; 1; 8192; 3800; 0.04322
 10; 50; 1; 8192; 3800; 0.03662
 10; 50; 1; 8192; 3800; 0.03251
 10; 50; 1; 8192; 3800; 0.03290
 10; 50; 1; 8192; 3800; 0.03252
 10; 50; 1; 4096; 3800; 0.03129
 10; 50; 1; 4096; 3800; 0.03141
 10; 50; 1; 4096; 3800; 0.04843
 10; 50; 1; 4096; 3800; 0.03137
 10; 50; 1; 4096; 3800; 0.03123
 10; 50; 1; 4096; 3800; 0.03124
 10; 50; 1; 4096; 3800; 0.03195
 10; 50; 1; 4096; 3800; 0.03165
 10; 50; 1; 4096; 3800; 0.03152
 10; 50; 1; 4096; 3800; 0.03153
 10; 50; 1; 2048; 3800; 0.03098
 10; 50; 1; 2048; 3800; 0.03065
 10; 50; 1; 2048; 3800; 0.03071
 10; 50; 1; 2048; 3800; 0.03093
 10; 50; 1; 2048; 3800; 0.03069
 10; 50; 1; 2048; 1068376609; 0.03064
 10; 50; 1; 2048; 1068376609; 0.03067
 10; 50; 1; 2048; 1068376609; 0.03053
 10; 50; 1; 2048; 1068376607; 0.03069
 10; 50; 1; 2048; 1068376609; 0.03067
 10; 50; 1; 1024; 3800; 0.03033
 10; 50; 1; 1024; 3800; 0.03042
 10; 50; 1; 1024; 3800; 0.03039
 10; 50; 1; 1024; 3800; 0.03022
 10; 50; 1; 1024; 3800; 0.03052
 10; 50; 1; 1024; 3800; 0.03033
 10; 50; 1; 1024; 3800; 0.03031
 10; 50; 1; 1024; 3800; 0.03039
 10; 50; 1; 1024; 3800; 0.03031
 10; 50; 1; 1024; 3800; 0.03026
 10; 50; 3; 8192; 4015; 0.32397
 10; 50; 3; 8192; 4015; 0.21098
 10; 50; 3; 8192; 4015; 0.21122
 10; 50; 3; 8192; 4015; 0.21139
 10; 50; 3; 8192; 4015; 0.21191
 10; 50; 3; 8192; 4015; 0.21079
 10; 50; 3; 8192; 4015; 0.21044
 10; 50; 3; 8192; 4015; 0.21009
 10; 50; 3; 8192; 4015; 0.21035
 10; 50; 3; 8192; 4015; 0.21010
 10; 50; 3; 4096; 4015; 0.20833
 10; 50; 3; 4096; 4015; 0.20810
 10; 50; 3; 4096; 1909104462; 0.20775
 10; 50; 3; 4096; 1909104462; 0.20770
 10; 50; 3; 4096; 1909104462; 0.20656
 10; 50; 3; 4096; 1909104462; 0.20626
 10; 50; 3; 4096; 1909104462; 0.20640
 10; 50; 3; 4096; 1909104462; 0.20594
 10; 50; 3; 4096; 1909104462; 0.20675
 10; 50; 3; 4096; 1909104462; 0.20754
 10; 50; 3; 2048; 4015; 0.20505
 10; 50; 3; 2048; 4015; 0.20505
 10; 50; 3; 2048; 4015; 0.25643
 10; 50; 3; 2048; 4015; 0.20567
 10; 50; 3; 2048; 4015; 0.20556
 10; 50; 3; 2048; 4015; 0.20556
 10; 50; 3; 2048; 4015; 0.20561
 10; 50; 3; 2048; 4015; 0.20556
 10; 50; 3; 2048; 4015; 0.20559
 10; 50; 3; 2048; 4015; 0.20575
 10; 50; 3; 1024; 4015; 0.20335
 10; 50; 3; 1024; 4015; 0.20346
 10; 50; 3; 1024; 4015; 0.20352
 10; 50; 3; 1024; 4015; 0.20393
 10; 50; 3; 1024; 4015; 0.20345
 10; 50; 3; 1024; 4015; 0.20388
 10; 50; 3; 1024; 4015; 0.20319
 10; 50; 3; 1024; 4015; 0.20329
 10; 50; 3; 1024; 4015; 0.20277
 10; 50; 3; 1024; 4015; 0.20331
 10; 50; 6; 8192; 10618; 1.10559
 10; 50; 6; 8192; 10618; 1.05485
 10; 50; 6; 8192; 10568; 1.05803
 10; 50; 6; 8192; 1071164977; 1.05649
 10; 50; 6; 8192; 10600; 1.05144
 10; 50; 6; 8192; 10568; 1.06112
 10; 50; 6; 8192; 10581; 1.06857
 10; 50; 6; 8192; 10573; 1.06700
 10; 50; 6; 8192; 10600; 1.06182
 10; 50; 6; 8192; 10586; 1.06256
 10; 50; 6; 4096; 10584; 1.05988
 10; 50; 6; 4096; 10597; 1.05545
 10; 50; 6; 4096; 10581; 1.06192
 10; 50; 6; 4096; 10568; 1.04876
 10; 50; 6; 4096; 1070635250; 1.04981
 10; 50; 6; 4096; 10553; 1.05647
 10; 50; 6; 4096; 10573; 1.05747
 10; 50; 6; 4096; 10561; 1.04801
 10; 50; 6; 4096; 10582; 1.04892
 10; 50; 6; 4096; 10566; 1.04571
 10; 50; 6; 2048; 10566; 1.05149
 10; 50; 6; 2048; 10561; 1.04282
 10; 50; 6; 2048; 10573; 1.05418
 10; 50; 6; 2048; 10584; 1.04895
 10; 50; 6; 2048; 10506; 1.05558
 10; 50; 6; 2048; 10584; 1.05126
 10; 50; 6; 2048; 10555; 1.03657
 10; 50; 6; 2048; 10520; 1.04655
 10; 50; 6; 2048; 10562; 1.04721
 10; 50; 6; 2048; 10563; 1.04942
 10; 50; 6; 1024; 10502; 1.04687
 10; 50; 6; 1024; 10494; 1.04846
 10; 50; 6; 1024; 10530; 1.04201
 10; 50; 6; 1024; 10553; 1.03571
 10; 50; 6; 1024; 10513; 1.04627
 10; 50; 6; 1024; 10488; 1.03389
 10; 50; 6; 1024; 10509; 1.04810
 10; 50; 6; 1024; 10555; 1.05047
 10; 50; 6; 1024; 10494; 1.04316
 10; 50; 6; 1024; 10557; 1.04801
