run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800.00; 3.06656
 10; 50; 1; 8192; 3800.00; 2.85035
 10; 50; 1; 8192; 3800.00; 3.01525
 10; 50; 1; 8192; 3800.00; 2.97953
 10; 50; 1; 8192; 3800.00; 3.13042
 10; 50; 1; 8192; 3800.00; 2.81305
 10; 50; 1; 8192; 3800.00; 2.83278
 10; 50; 1; 8192; 3800.00; 2.80047
 10; 50; 1; 8192; 3800.00; 3.10346
 10; 50; 1; 8192; 3800.00; 2.91892
 10; 50; 1; 4096; 3800.00; 1.54742
 10; 50; 1; 4096; 3800.00; 1.47173
 10; 50; 1; 4096; 3800.00; 1.51902
 10; 50; 1; 4096; 3800.00; 1.56022
 10; 50; 1; 4096; 3800.00; 1.53042
 10; 50; 1; 4096; 3800.00; 1.56277
 10; 50; 1; 4096; 3800.00; 1.52256
 10; 50; 1; 4096; 3800.00; 1.51439
 10; 50; 1; 4096; 3800.00; 1.54676
 10; 50; 1; 4096; 3800.00; 1.49705
 10; 50; 1; 2048; 3800.00; 0.79343
 10; 50; 1; 2048; 3800.00; 0.78822
 10; 50; 1; 2048; 3800.00; 0.77366
 10; 50; 1; 2048; 3800.00; 0.71005
 10; 50; 1; 2048; 3800.00; 0.80167
 10; 50; 1; 2048; 3800.00; 0.79436
 10; 50; 1; 2048; 3800.00; 0.79566
 10; 50; 1; 2048; 3800.00; 0.79310
 10; 50; 1; 2048; 3800.00; 0.77853
 10; 50; 1; 2048; 3800.00; 0.71120
 10; 50; 1; 1024; 3800.00; 0.40166
 10; 50; 1; 1024; 3800.00; 0.37794
 10; 50; 1; 1024; 3800.00; 0.41351
 10; 50; 1; 1024; 3800.00; 0.41026
 10; 50; 1; 1024; 3800.00; 0.41252
 10; 50; 1; 1024; 3800.00; 0.40922
 10; 50; 1; 1024; 3800.00; 0.39023
 10; 50; 1; 1024; 3800.00; 0.36787
 10; 50; 1; 1024; 3800.00; 0.36622
 10; 50; 1; 1024; 3800.00; 0.34649
 10; 50; 3; 8192; 4015.00; 2.84799
 10; 50; 3; 8192; 4015.00; 2.82799
 10; 50; 3; 8192; 4015.00; 2.83533
 10; 50; 3; 8192; 4015.00; 2.85428
 10; 50; 3; 8192; 4015.00; 2.88109
 10; 50; 3; 8192; 4015.00; 2.87229
 10; 50; 3; 8192; 4015.00; 2.88147
 10; 50; 3; 8192; 4015.00; 2.95279
 10; 50; 3; 8192; 4015.00; 2.89481
 10; 50; 3; 8192; 4015.00; 2.85412
 10; 50; 3; 4096; 4015.00; 1.49701
 10; 50; 3; 4096; 4015.00; 1.50033
 10; 50; 3; 4096; 4015.00; 1.48889
 10; 50; 3; 4096; 4015.00; 1.50951
 10; 50; 3; 4096; 4015.00; 1.50569
 10; 50; 3; 4096; 4015.00; 1.48182
 10; 50; 3; 4096; 4015.00; 1.52049
 10; 50; 3; 4096; 4015.00; 1.48581
 10; 50; 3; 4096; 4015.00; 1.50411
 10; 50; 3; 4096; 4015.00; 1.50635
 10; 50; 3; 2048; 4015.00; 0.83002
 10; 50; 3; 2048; 4015.00; 0.82897
 10; 50; 3; 2048; 4015.00; 0.82118
 10; 50; 3; 2048; 4015.00; 0.82222
 10; 50; 3; 2048; 4015.00; 0.84151
 10; 50; 3; 2048; 4015.00; 0.82068
 10; 50; 3; 2048; 4015.00; 0.83495
 10; 50; 3; 2048; 4015.00; 0.84029
 10; 50; 3; 2048; 4015.00; 0.83890
 10; 50; 3; 2048; 4015.00; 0.83684
 10; 50; 3; 1024; 4015.00; 0.47537
 10; 50; 3; 1024; 4015.00; 0.44784
 10; 50; 3; 1024; 4015.00; 0.43693
 10; 50; 3; 1024; 4015.00; 0.43992
 10; 50; 3; 1024; 4015.00; 0.42581
 10; 50; 3; 1024; 4015.00; 0.42922
 10; 50; 3; 1024; 4015.00; 0.42769
 10; 50; 3; 1024; 4015.00; 0.42534
 10; 50; 3; 1024; 4015.00; 0.42044
 10; 50; 3; 1024; 4015.00; 0.42343
 10; 50; 4; 8192; 6120.00; 2.74260
 10; 50; 4; 8192; 6120.00; 2.95472
 10; 50; 4; 8192; 6120.00; 3.18812
 10; 50; 4; 8192; 6120.00; 3.20222
 10; 50; 4; 8192; 6120.00; 3.19534
 10; 50; 4; 8192; 6120.00; 3.21221
 10; 50; 4; 8192; 6120.00; 3.18987
 10; 50; 4; 8192; 6120.00; 3.03411
 10; 50; 4; 8192; 6120.00; 3.16887
 10; 50; 4; 8192; 6120.00; 3.13166
 10; 50; 4; 4096; 6120.00; 1.69435
 10; 50; 4; 4096; 6120.00; 1.65807
 10; 50; 4; 4096; 6120.00; 1.73811
 10; 50; 4; 4096; 6120.00; 1.75433
 10; 50; 4; 4096; 6120.00; 1.75612
 10; 50; 4; 4096; 6120.00; 1.73427
 10; 50; 4; 4096; 6120.00; 1.67386
 10; 50; 4; 4096; 6120.00; 1.68566
 10; 50; 4; 4096; 6120.00; 1.70438
 10; 50; 4; 4096; 6120.00; 1.67777
 10; 50; 4; 2048; 6120.00; 0.96060
 10; 50; 4; 2048; 6120.00; 0.99287
 10; 50; 4; 2048; 6120.00; 0.99612
 10; 50; 4; 2048; 6120.00; 0.97783
 10; 50; 4; 2048; 6120.00; 0.93738
 10; 50; 4; 2048; 6120.00; 0.94147
 10; 50; 4; 2048; 6120.00; 0.98029
 10; 50; 4; 2048; 6120.00; 0.97458
 10; 50; 4; 2048; 6120.00; 0.95492
 10; 50; 4; 2048; 6120.00; 0.99579
 10; 50; 4; 1024; 6120.00; 0.53685
 10; 50; 4; 1024; 6120.00; 0.49045
 10; 50; 4; 1024; 6120.00; 0.52127
 10; 50; 4; 1024; 6120.00; 0.47885
 10; 50; 4; 1024; 6120.00; 0.46818
 10; 50; 4; 1024; 6120.00; 0.46403
