run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800.00; 2.95268
 10; 50; 1; 8192; 3800.00; 3.03915
 10; 50; 1; 8192; 3800.00; 3.02297
 10; 50; 1; 8192; 3800.00; 2.94525
 10; 50; 1; 8192; 3800.00; 3.09560
 10; 50; 1; 8192; 3800.00; 3.00707
 10; 50; 1; 8192; 3800.00; 3.03398
 10; 50; 1; 8192; 3800.00; 3.04414
 10; 50; 1; 8192; 3800.00; 3.04768
 10; 50; 1; 8192; 3800.00; 2.96826
 10; 50; 1; 4096; 3800.00; 1.50376
 10; 50; 1; 4096; 3800.00; 1.56762
 10; 50; 1; 4096; 3800.00; 1.54391
 10; 50; 1; 4096; 3800.00; 1.53346
 10; 50; 1; 4096; 3800.00; 1.52464
 10; 50; 1; 4096; 3800.00; 1.55748
 10; 50; 1; 4096; 3800.00; 1.52831
 10; 50; 1; 4096; 3800.00; 1.49882
 10; 50; 1; 4096; 3800.00; 1.51229
 10; 50; 1; 4096; 3800.00; 1.46788
 10; 50; 1; 2048; 3800.00; 0.80345
 10; 50; 1; 2048; 3800.00; 0.78946
 10; 50; 1; 2048; 3800.00; 0.73042
 10; 50; 1; 2048; 3800.00; 0.77431
 10; 50; 1; 2048; 3800.00; 0.79308
 10; 50; 1; 2048; 3800.00; 0.79402
 10; 50; 1; 2048; 3800.00; 0.79092
 10; 50; 1; 2048; 3800.00; 0.79163
 10; 50; 1; 2048; 3800.00; 0.76436
 10; 50; 1; 2048; 3800.00; 0.80370
 10; 50; 1; 1024; 3800.00; 0.37420
 10; 50; 1; 1024; 3800.00; 0.40409
 10; 50; 1; 1024; 3800.00; 0.40574
 10; 50; 1; 1024; 3800.00; 0.40757
 10; 50; 1; 1024; 3800.00; 0.40641
 10; 50; 1; 1024; 3800.00; 0.40808
 10; 50; 1; 1024; 3800.00; 0.38118
 10; 50; 1; 1024; 3800.00; 0.36273
 10; 50; 1; 1024; 3800.00; 0.36567
 10; 50; 1; 1024; 3800.00; 0.36368
 10; 50; 3; 8192; 4015.00; 2.90289
 10; 50; 3; 8192; 4015.00; 2.88585
 10; 50; 3; 8192; 4015.00; 2.90854
 10; 50; 3; 8192; 4015.00; 2.88391
 10; 50; 3; 8192; 4015.00; 2.89394
 10; 50; 3; 8192; 4015.00; 2.91456
 10; 50; 3; 8192; 4015.00; 2.90266
 10; 50; 3; 8192; 4015.00; 2.93488
 10; 50; 3; 8192; 4015.00; 3.16209
 10; 50; 3; 8192; 4015.00; 3.12888
 10; 50; 3; 4096; 4015.00; 1.65002
 10; 50; 3; 4096; 4015.00; 1.65953
 10; 50; 3; 4096; 4015.00; 1.64549
 10; 50; 3; 4096; 4015.00; 1.62154
 10; 50; 3; 4096; 4015.00; 1.63293
 10; 50; 3; 4096; 4015.00; 1.68025
 10; 50; 3; 4096; 4015.00; 1.64940
 10; 50; 3; 4096; 4015.00; 1.66709
 10; 50; 3; 4096; 4015.00; 1.66062
 10; 50; 3; 4096; 4015.00; 1.68141
 10; 50; 3; 2048; 4015.00; 0.90513
 10; 50; 3; 2048; 4015.00; 0.90378
 10; 50; 3; 2048; 4015.00; 0.89648
 10; 50; 3; 2048; 4015.00; 0.85078
 10; 50; 3; 2048; 4015.00; 0.83267
 10; 50; 3; 2048; 4015.00; 0.82791
 10; 50; 3; 2048; 4015.00; 0.83130
 10; 50; 3; 2048; 4015.00; 0.84035
 10; 50; 3; 2048; 4015.00; 0.82259
 10; 50; 3; 2048; 4015.00; 0.82287
 10; 50; 3; 1024; 4015.00; 0.48013
 10; 50; 3; 1024; 4015.00; 0.44816
 10; 50; 3; 1024; 4015.00; 0.43362
 10; 50; 3; 1024; 4015.00; 0.44064
 10; 50; 3; 1024; 4015.00; 0.42660
 10; 50; 3; 1024; 4015.00; 0.42324
 10; 50; 3; 1024; 4015.00; 0.41954
 10; 50; 3; 1024; 4015.00; 0.42363
 10; 50; 3; 1024; 4015.00; 0.41788
 10; 50; 3; 1024; 4015.00; 0.42060
 10; 50; 4; 8192; 6120.00; 2.84638
 10; 50; 4; 8192; 6120.00; 2.86136
 10; 50; 4; 8192; 6120.00; 2.85010
 10; 50; 4; 8192; 6120.00; 2.85168
 10; 50; 4; 8192; 6120.00; 3.18544
 10; 50; 4; 8192; 6120.00; 3.29600
 10; 50; 4; 8192; 6120.00; 3.10620
 10; 50; 4; 8192; 6120.00; 3.28047
 10; 50; 4; 8192; 6120.00; 3.24766
 10; 50; 4; 8192; 6120.00; 3.20916
 10; 50; 4; 4096; 6120.00; 1.79139
 10; 50; 4; 4096; 6120.00; 1.75602
 10; 50; 4; 4096; 6120.00; 1.77530
 10; 50; 4; 4096; 6120.00; 1.77780
 10; 50; 4; 4096; 6120.00; 1.70134
 10; 50; 4; 4096; 6120.00; 1.76558
 10; 50; 4; 4096; 6120.00; 1.74458
 10; 50; 4; 4096; 6120.00; 1.80341
 10; 50; 4; 4096; 6120.00; 1.79538
 10; 50; 4; 4096; 6120.00; 1.67639
 10; 50; 4; 2048; 6120.00; 0.95817
 10; 50; 4; 2048; 6120.00; 1.01516
 10; 50; 4; 2048; 6120.00; 0.95541
 10; 50; 4; 2048; 6120.00; 1.01820
 10; 50; 4; 2048; 6120.00; 1.00422
 10; 50; 4; 2048; 6120.00; 1.00672
 10; 50; 4; 2048; 6120.00; 0.96335
 10; 50; 4; 2048; 6120.00; 1.01208
 10; 50; 4; 2048; 6120.00; 1.01372
 10; 50; 4; 2048; 6120.00; 1.00520
 10; 50; 4; 1024; 6120.00; 0.56403
 10; 50; 4; 1024; 6120.00; 0.52545
 10; 50; 4; 1024; 6120.00; 0.52636
 10; 50; 4; 1024; 6120.00; 0.52697
 10; 50; 4; 1024; 6120.00; 0.51780
 10; 50; 4; 1024; 6120.00; 0.50543
 10; 50; 4; 1024; 6120.00; 0.53346
 10; 50; 4; 1024; 6120.00; 0.52713
 10; 50; 4; 1024; 6120.00; 0.52130
 10; 50; 4; 1024; 6120.00; 0.51554
 10; 50; 5; 8192; 12400.00; 2.90432
 10; 50; 5; 8192; 12400.00; 3.41420
 10; 50; 5; 8192; 12400.00; 3.09259
 10; 50; 5; 8192; 12400.00; 3.09493
 10; 50; 5; 8192; 12400.00; 3.09103
 10; 50; 5; 8192; 12400.00; 3.29183
 10; 50; 5; 8192; 12400.00; 3.46636
 10; 50; 5; 8192; 12400.00; 3.47882
 10; 50; 5; 8192; 12400.00; 3.44000
 10; 50; 5; 8192; 12400.00; 3.48739
 10; 50; 5; 4096; 12400.00; 1.93992
 10; 50; 5; 4096; 12400.00; 1.94257
 10; 50; 5; 4096; 12400.00; 1.95142
 10; 50; 5; 4096; 12400.00; 1.91048
 10; 50; 5; 4096; 12400.00; 1.90973
 10; 50; 5; 4096; 12400.00; 1.88903
 10; 50; 5; 4096; 12400.00; 1.90921
 10; 50; 5; 4096; 12400.00; 1.90837
