run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024;
 10; 50; 3; 1024;
 10; 50; 4; 1024;
 10; 50; 5; 1024;
 10; 50; 6; 1024; 10602.00; 0.91641
 10; 50; 6; 1024; 10618.00; 0.85808
 10; 50; 6; 1024; 10604.00; 0.85149
 10; 50; 6; 1024; 10604.00; 0.84880
 10; 50; 6; 1024; 10597.00; 0.85974
 10; 50; 6; 1024; 10605.00; 0.85106
 10; 50; 6; 1024; 10586.00; 0.84231
 10; 50; 6; 1024; 10605.00; 0.85463
 10; 50; 6; 1024; 10601.00; 0.84473
 10; 50; 6; 1024; 10604.00; 0.85383
 10; 50; 6; 2048; 10618.00; 1.15000
 10; 50; 6; 2048; 10618.00; 1.16033
 10; 50; 6; 2048; 10605.00; 1.18683
 10; 50; 6; 2048; 10618.00; 1.14899
 10; 50; 6; 2048; 10618.00; 1.17214
 10; 50; 6; 2048; 10618.00; 1.16263
 10; 50; 6; 2048; 10618.00; 1.17603
 10; 50; 6; 2048; 10618.00; 1.14755
 10; 50; 6; 2048; 10618.00; 1.15179
 10; 50; 6; 2048; 10589.00; 1.14890
 10; 50; 6; 4096; 10618.00; 1.75160
 10; 50; 6; 4096; 10618.00; 1.77983
 10; 50; 6; 4096; 10618.00; 1.76279
 10; 50; 6; 4096; 10618.00; 1.77047
 10; 50; 6; 4096; 10618.00; 1.75353
 10; 50; 6; 4096; 10618.00; 1.75472
 10; 50; 6; 4096; 10618.00; 1.75134
 10; 50; 6; 4096; 10618.00; 1.75775
 10; 50; 6; 4096; 10601.00; 1.77850
 10; 50; 6; 4096; 10605.00; 1.76711
 10; 50; 6; 8192; 10618.00; 3.00654
 10; 50; 6; 8192; 10618.00; 3.22087
 10; 50; 6; 8192; 10618.00; 3.35976
 10; 50; 6; 8192; 10618.00; 3.40134
 10; 50; 6; 8192; 10618.00; 3.38211
 10; 50; 6; 8192; 10618.00; 3.37551
 10; 50; 6; 8192; 10618.00; 3.39164
 10; 50; 6; 8192; 10618.00; 3.38513
 10; 50; 6; 8192; 10618.00; 3.42156
 10; 50; 6; 8192; 10618.00; 3.37996
 10; 50; 7; 1024; 16472.00; 1.23831
 10; 50; 7; 1024; 16443.00; 1.16097
 10; 50; 7; 1024; 16445.00; 1.15975
 10; 50; 7; 1024; 16465.00; 1.16731
 10; 50; 7; 1024; 16463.00; 1.17001
 10; 50; 7; 1024; 16508.00; 1.16525
 10; 50; 7; 1024; 16466.00; 1.16386
 10; 50; 7; 1024; 16448.00; 1.15918
 10; 50; 7; 1024; 16472.00; 1.16494
 10; 50; 7; 1024; 16428.00; 1.16536
 10; 50; 7; 2048; 16460.00; 1.46232
 10; 50; 7; 2048; 16485.00; 1.45950
 10; 50; 7; 2048; 16499.00; 1.45513
 10; 50; 7; 2048; 16494.00; 1.45049
 10; 50; 7; 2048; 16461.00; 1.56965
 10; 50; 7; 2048; 16469.00; 1.55083
 10; 50; 7; 2048; 16498.00; 1.58174
 10; 50; 7; 2048; 16469.00; 1.51300
 10; 50; 7; 2048; 16467.00; 1.46417
 10; 50; 7; 2048; 16450.00; 1.49215
 10; 50; 7; 4096; 16498.00; 2.24578
 10; 50; 7; 4096; 16504.00; 2.26047
 10; 50; 7; 4096; 16466.00; 2.24096
 10; 50; 7; 4096; 16469.00; 2.20247
 10; 50; 7; 4096; 16504.00; 2.25546
 10; 50; 7; 4096; 16471.00; 2.21368
 10; 50; 7; 4096; 16485.00; 2.16139
 10; 50; 7; 4096; 16471.00; 2.23862
 10; 50; 7; 4096; 16487.00; 2.21999
 10; 50; 7; 4096; 16453.00; 2.24175
 10; 50; 7; 8192; 16499.00; 3.55148
 10; 50; 7; 8192; 16497.00; 3.55878
 10; 50; 7; 8192; 16488.00; 3.62716
 10; 50; 7; 8192; 16496.00; 3.54311
 10; 50; 7; 8192; 16519.00; 3.51316
 10; 50; 7; 8192; 16469.00; 3.61015
 10; 50; 7; 8192; 16486.00; 3.71294
 10; 50; 7; 8192; 16481.00; 3.57712
 10; 50; 7; 8192; 16495.00; 3.64581
 10; 50; 7; 8192; 16471.00; 3.64248
