run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 6; 8192; 10618.00; 6.58751
 10; 50; 6; 8192; 10618.00; 6.53519
 10; 50; 6; 8192; 10618.00; 6.35312
 10; 50; 6; 8192; 10618.00; 6.36733
 10; 50; 6; 8192; 10618.00; 6.49814
 10; 50; 6; 8192; 10618.00; 6.49298
 10; 50; 6; 8192; 10618.00; 6.50803
 10; 50; 6; 8192; 10618.00; 6.60626
 10; 50; 6; 8192; 10618.00; 6.50142
 10; 50; 6; 8192; 10618.00; 6.29722
 10; 50; 6; 4096; 10618.00; 3.04721
 10; 50; 6; 4096; 10618.00; 3.04401
 10; 50; 6; 4096; 10618.00; 3.25225
 10; 50; 6; 4096; 10618.00; 3.16606
 10; 50; 6; 4096; 10618.00; 3.17835
 10; 50; 6; 4096; 10618.00; 3.16670
 10; 50; 6; 4096; 10618.00; 3.16572
 10; 50; 6; 4096; 10618.00; 3.17465
 10; 50; 6; 4096; 10618.00; 3.16852
 10; 50; 6; 4096; 10618.00; 3.16651
 10; 50; 6; 2048; 10618.00; 1.95824
 10; 50; 6; 2048; 10618.00; 1.95551
 10; 50; 6; 2048; 10618.00; 1.96123
 10; 50; 6; 2048; 10618.00; 1.96659
 10; 50; 6; 2048; 10618.00; 1.96191
 10; 50; 6; 2048; 10618.00; 1.96543
 10; 50; 6; 2048; 10618.00; 1.95633
 10; 50; 6; 2048; 10618.00; 1.95258
 10; 50; 6; 2048; 10618.00; 1.96294
 10; 50; 6; 2048; 10618.00; 1.95451
 10; 50; 6; 1024; 10604.00; 1.47171
 10; 50; 6; 1024; 10618.00; 1.47180
 10; 50; 6; 1024; 10600.00; 1.46988
 10; 50; 6; 1024; 10618.00; 1.47818
 10; 50; 6; 1024; 10602.00; 1.47309
 10; 50; 6; 1024; 10600.00; 1.47835
 10; 50; 6; 1024; 10618.00; 1.47445
 10; 50; 6; 1024; 10605.00; 1.47527
 10; 50; 6; 1024; 10602.00; 1.47411
 10; 50; 6; 1024; 10618.00; 1.46886
 10; 50; 7; 8192; 16520.00; 7.82457
 10; 50; 7; 8192; 16524.00; 7.77544
 10; 50; 7; 8192; 16494.00; 7.78024
 10; 50; 7; 8192; 16519.00; 7.79635
 10; 50; 7; 8192; 16506.00; 7.79492
 10; 50; 7; 8192; 16518.00; 7.78773
 10; 50; 7; 8192; 16524.00; 7.78188
 10; 50; 7; 8192; 16499.00; 8.09534
 10; 50; 7; 8192; 16499.00; 7.79587
 10; 50; 7; 8192; 16511.00; 7.78414
 10; 50; 7; 4096; 16502.00; 3.74229
 10; 50; 7; 4096; 16515.00; 3.75312
 10; 50; 7; 4096; 16481.00; 3.74798
 10; 50; 7; 4096; 16494.00; 3.75347
 10; 50; 7; 4096; 16475.00; 3.74861
 10; 50; 7; 4096; 16494.00; 3.75558
 10; 50; 7; 4096; 16501.00; 3.75751
 10; 50; 7; 4096; 16481.00; 3.76109
 10; 50; 7; 4096; 16519.00; 3.75325
 10; 50; 7; 4096; 16497.00; 3.75081
 10; 50; 7; 2048; 16469.00; 2.42899
 10; 50; 7; 2048; 16493.00; 2.42571
 10; 50; 7; 2048; 16475.00; 2.42587
 10; 50; 7; 2048; 16483.00; 2.41897
 10; 50; 7; 2048; 16500.00; 2.41684
 10; 50; 7; 2048; 16487.00; 2.42271
 10; 50; 7; 2048; 16494.00; 2.42042
 10; 50; 7; 2048; 16498.00; 2.42553
 10; 50; 7; 2048; 16449.00; 2.42783
 10; 50; 7; 2048; 16499.00; 2.41833
 10; 50; 7; 1024; 16456.00; 1.99705
 10; 50; 7; 1024; 16491.00; 2.00086
 10; 50; 7; 1024; 16519.00; 1.99259
 10; 50; 7; 1024; 16448.00; 1.99067
 10; 50; 7; 1024; 16450.00; 1.99413
 10; 50; 7; 1024; 16454.00; 1.98214
 10; 50; 7; 1024; 16481.00; 2.00442
 10; 50; 7; 1024; 16476.00; 2.00194
 10; 50; 7; 1024; 16498.00; 1.98959
 10; 50; 7; 1024; 16475.00; 1.98576
