run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024; 3800; 0.12563
 10; 50; 1; 1024; 3800; 0.05617
 10; 50; 1; 1024; 3800; 0.05599
 10; 50; 1; 1024; 3800; 0.05598
 10; 50; 1; 1024; 3800; 0.05596
 10; 50; 1; 1024; 3800; 0.05584
 10; 50; 1; 1024; 3800; 0.05591
 10; 50; 1; 1024; 3800; 0.05587
 10; 50; 1; 1024; 3800; 0.05589
 10; 50; 1; 1024; 3800; 0.05587
 10; 50; 1; 2048; 3800; 0.07517
 10; 50; 1; 2048; 3800; 0.07531
 10; 50; 1; 2048; 3800; 0.07487
 10; 50; 1; 2048; 3800; 0.07582
 10; 50; 1; 2048; 3800; 0.07498
 10; 50; 1; 2048; 3800; 0.07528
 10; 50; 1; 2048; 3800; 0.07476
 10; 50; 1; 2048; 3800; 0.07491
 10; 50; 1; 2048; 3800; 0.07448
 10; 50; 1; 2048; 3800; 0.07497
 10; 50; 1; 4096; 3800; 0.11384
 10; 50; 1; 4096; 3800; 0.11411
 10; 50; 1; 4096; 3800; 0.11365
 10; 50; 1; 4096; 3800; 0.11363
 10; 50; 1; 4096; 3800; 0.11363
 10; 50; 1; 4096; 3800; 0.11358
 10; 50; 1; 4096; 3800; 0.11389
 10; 50; 1; 4096; 3800; 0.11351
 10; 50; 1; 4096; 3800; 0.11370
 10; 50; 1; 4096; 3800; 0.11384
 10; 50; 1; 8192; 3800; 0.19494
 10; 50; 1; 8192; 3800; 0.19505
 10; 50; 1; 8192; 3800; 0.19825
 10; 50; 1; 8192; 3800; 0.19553
 10; 50; 1; 8192; 3800; 0.19533
 10; 50; 1; 8192; 3800; 0.19544
 10; 50; 1; 8192; 3800; 0.19464
 10; 50; 1; 8192; 3800; 0.19459
 10; 50; 1; 8192; 3800; 0.19470
 10; 50; 1; 8192; 3800; 0.19469
 10; 50; 3; 1024; 4015; 0.26001
 10; 50; 3; 1024; 4015; 0.23316
 10; 50; 3; 1024; 4015; 0.23307
 10; 50; 3; 1024; 4015; 0.23301
 10; 50; 3; 1024; 4015; 0.23284
