run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024;
 10; 50; 3; 1024;
 10; 50; 4; 1024;
 10; 50; 5; 1024;
 10; 50; 6; 1024; 10604.00; 1.46256
 10; 50; 6; 1024; 10618.00; 1.46782
 10; 50; 6; 1024; 10602.00; 1.41910
 10; 50; 6; 1024; 10586.00; 1.47801
 10; 50; 6; 1024; 10618.00; 1.46831
 10; 50; 6; 1024; 10601.00; 1.45701
 10; 50; 6; 1024; 10618.00; 1.44083
 10; 50; 6; 1024; 10597.00; 1.48958
 10; 50; 6; 1024; 10605.00; 1.48843
 10; 50; 6; 1024; 10600.00; 1.42939
 10; 50; 6; 2048; 10618.00; 1.88870
 10; 50; 6; 2048; 10588.00; 1.98078
 10; 50; 6; 2048; 10585.00; 1.80259
 10; 50; 6; 2048; 10618.00; 1.90422
 10; 50; 6; 2048; 10604.00; 1.88062
 10; 50; 6; 2048; 10618.00; 1.89491
 10; 50; 6; 2048; 10605.00; 1.80458
 10; 50; 6; 2048; 10588.00; 1.89258
 10; 50; 6; 2048; 10618.00; 1.88736
 10; 50; 6; 2048; 10605.00; 1.90022
 10; 50; 6; 4096; 10604.00; 2.69246
 10; 50; 6; 4096; 10618.00; 2.70415
 10; 50; 6; 4096; 10618.00; 2.69316
 10; 50; 6; 4096; 10618.00; 2.76398
 10; 50; 6; 4096; 10618.00; 2.69687
 10; 50; 6; 4096; 10618.00; 2.69713
 10; 50; 6; 4096; 10618.00; 2.58399
 10; 50; 6; 4096; 10618.00; 2.69223
 10; 50; 6; 4096; 10618.00; 2.78636
 10; 50; 6; 4096; 10604.00; 2.72020
 10; 50; 6; 8192; 10618.00; 4.23920
 10; 50; 6; 8192; 10605.00; 4.38571
 10; 50; 6; 8192; 10618.00; 3.92521
 10; 50; 6; 8192; 10618.00; 3.82041
 10; 50; 6; 8192; 10618.00; 4.49056
 10; 50; 6; 8192; 10618.00; 4.37899
 10; 50; 6; 8192; 10618.00; 4.33175
 10; 50; 6; 8192; 10618.00; 4.33144
 10; 50; 6; 8192; 10618.00; 4.38219
 10; 50; 6; 8192; 10605.00; 4.30504
 10; 50; 7; 1024; 16431.00; 2.01622
 10; 50; 7; 1024; 16463.00; 2.00502
 10; 50; 7; 1024; 16439.00; 1.98442
 10; 50; 7; 1024; 16452.00; 1.97865
 10; 50; 7; 1024; 16515.00; 1.99004
 10; 50; 7; 1024; 16427.00; 1.99633
 10; 50; 7; 1024; 16496.00; 1.97624
 10; 50; 7; 1024; 16423.00; 1.97039
 10; 50; 7; 1024; 16481.00; 1.95282
 10; 50; 7; 1024; 16492.00; 1.96790
 10; 50; 7; 2048; 16470.00; 2.32682
 10; 50; 7; 2048; 16440.00; 2.33877
 10; 50; 7; 2048; 16506.00; 2.32617
 10; 50; 7; 2048; 16426.00; 2.30422
 10; 50; 7; 2048; 16455.00; 2.37603
 10; 50; 7; 2048; 16476.00; 2.33220
 10; 50; 7; 2048; 16451.00; 2.33892
 10; 50; 7; 2048; 16439.00; 2.34819
 10; 50; 7; 2048; 16478.00; 2.34059
 10; 50; 7; 2048; 16498.00; 2.35295
 10; 50; 7; 4096; 16504.00; 3.03711
 10; 50; 7; 4096; 16475.00; 3.00927
 10; 50; 7; 4096; 16469.00; 3.23857
 10; 50; 7; 4096; 16504.00; 3.31546
 10; 50; 7; 4096; 16524.00; 3.30449
 10; 50; 7; 4096; 16462.00; 3.00047
 10; 50; 7; 4096; 16469.00; 3.11290
 10; 50; 7; 4096; 16467.00; 3.05172
 10; 50; 7; 4096; 16499.00; 3.09530
 10; 50; 7; 4096; 16483.00; 3.03550
 10; 50; 7; 8192; 16496.00; 4.46425
 10; 50; 7; 8192; 16502.00; 4.50005
 10; 50; 7; 8192; 16493.00; 4.47749
 10; 50; 7; 8192; 16489.00; 4.61616
 10; 50; 7; 8192; 16507.00; 4.46657
 10; 50; 7; 8192; 16510.00; 4.57361
 10; 50; 7; 8192; 16492.00; 4.49959
 10; 50; 7; 8192; 16470.00; 4.43372
 10; 50; 7; 8192; 16469.00; 4.63563
 10; 50; 7; 8192; 16493.00; 4.57077
