run; iterations; problem; colony size; Fitness; Total Time 

 10; 50; 7; 1024; 16462; 1.57812
 10; 50; 7; 1024; 16494; 1.50410
 10; 50; 7; 1024; 16425; 1.51518
 10; 50; 7; 1024; 16425; 1.52956
 10; 50; 7; 1024; 16459; 1.51628
 10; 50; 7; 1024; 16412; 1.48468
 10; 50; 7; 1024; 16489; 1.51484
 10; 50; 7; 1024; 16463; 1.48421
 10; 50; 7; 1024; 16461; 1.51051
 10; 50; 7; 1024; 16446; 1.47015
 10; 50; 7; 2048; 16481; 1.51538
 10; 50; 7; 2048; 16470; 1.51662
 10; 50; 7; 2048; 16470; 1.49759
 10; 50; 7; 2048; 16469; 1.52793
 10; 50; 7; 2048; 16462; 1.52030
 10; 50; 7; 2048; 16481; 1.50362
 10; 50; 7; 2048; 16458; 1.48765
 10; 50; 7; 2048; 16464; 1.48915
 10; 50; 7; 2048; 16460; 1.52109
 10; 50; 7; 2048; 16456; 1.51843
 10; 50; 7; 4096; 16494; 1.50138
 10; 50; 7; 4096; 16508; 1.50271
 10; 50; 7; 4096; 16475; 1.50334
 10; 50; 7; 4096; 16469; 1.51744
 10; 50; 7; 4096; 16449; 1.50489
 10; 50; 7; 4096; 16486; 1.50808
 10; 50; 7; 4096; 16469; 1.49595
 10; 50; 7; 4096; 16472; 1.51029
 10; 50; 7; 4096; 16499; 1.51205
 10; 50; 7; 4096; 16498; 1.51745
 10; 50; 7; 8192; 16524; 1.51580
 10; 50; 7; 8192; 16498; 1.51650
 10; 50; 7; 8192; 16519; 1.50376
 10; 50; 7; 8192; 16467; 1.51788
 10; 50; 7; 8192; 16517; 1.51415
 10; 50; 7; 8192; 16508; 1.50506
 10; 50; 7; 8192; 16481; 1.53047
 10; 50; 7; 8192; 16479; 1.52176
 10; 50; 7; 8192; 16474; 1.53119
 10; 50; 7; 8192; 16503; 1.52840
 10; 50; 6; 1024; 10604; 1.04970
 10; 50; 6; 1024; 10604; 0.97752
 10; 50; 6; 1024; 10585; 0.98697
 10; 50; 6; 1024; 10588; 0.97072
 10; 50; 6; 1024; 10604; 0.97656
 10; 50; 6; 1024; 10618; 0.98241
 10; 50; 6; 1024; 10618; 0.98243
 10; 50; 6; 1024; 10605; 0.96737
 10; 50; 6; 1024; 10589; 0.98510
 10; 50; 6; 1024; 10618; 0.98738
 10; 50; 6; 2048; 10605; 0.97158
 10; 50; 6; 2048; 10618; 0.97241
 10; 50; 6; 2048; 10618; 0.97917
 10; 50; 6; 2048; 10618; 0.97214
 10; 50; 6; 2048; 10618; 0.98266
 10; 50; 6; 2048; 10602; 0.98796
 10; 50; 6; 2048; 10600; 0.98337
 10; 50; 6; 2048; 10602; 0.97913
 10; 50; 6; 2048; 10605; 0.97342
 10; 50; 6; 2048; 10618; 0.98237
 10; 50; 6; 4096; 10618; 0.98757
 10; 50; 6; 4096; 10605; 0.97987
 10; 50; 6; 4096; 10618; 0.98619
 10; 50; 6; 4096; 10618; 0.99023
 10; 50; 6; 4096; 10602; 0.98174
 10; 50; 6; 4096; 10589; 0.97623
 10; 50; 6; 4096; 10605; 0.98451
 10; 50; 6; 4096; 10601; 0.97462
 10; 50; 6; 4096; 10604; 0.98838
 10; 50; 6; 4096; 10604; 0.99310
 10; 50; 6; 8192; 10618; 0.99600
 10; 50; 6; 8192; 10604; 1.00939
 10; 50; 6; 8192; 10618; 1.00609
 10; 50; 6; 8192; 10618; 1.00619
 10; 50; 6; 8192; 10618; 0.99788
 10; 50; 6; 8192; 10618; 1.00772
 10; 50; 6; 8192; 10618; 1.00655
 10; 50; 6; 8192; 10618; 1.01012
 10; 50; 6; 8192; 10618; 1.00163
