run; iterations; problem; colony size; Fitness; Total Time 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 0;	50;	7;	1024;		16471.000000,	2.579415 ;
 1;	50;	7;	1024;		16483.000000,	0.590582 ;
 2;	50;	7;	1024;		16483.000000,	0.591425 ;
 3;	50;	7;	1024;		16495.000000,	0.595293 ;
 4;	50;	7;	1024;		16495.000000,	0.597943 ;
 5;	50;	7;	1024;		16476.000000,	0.612731 ;
 6;	50;	7;	1024;		16511.000000,	0.592057 ;
 7;	50;	7;	1024;		16511.000000,	0.591729 ;
 8;	50;	7;	1024;		16469.000000,	0.597000 ;
 9;	50;	7;	1024;		16469.000000,	0.597610 ;
 0;	50;	7;	2048;		16537.000000,	0.605903 ;
 1;	50;	7;	2048;		16486.000000,	0.605437 ;
 2;	50;	7;	2048;		16486.000000,	0.606090 ;
 3;	50;	7;	2048;		16494.000000,	0.610329 ;
 4;	50;	7;	2048;		16494.000000,	0.610712 ;
 5;	50;	7;	2048;		16481.000000,	0.604345 ;
 6;	50;	7;	2048;		16469.000000,	0.620909 ;
 7;	50;	7;	2048;		16469.000000,	0.621161 ;
 8;	50;	7;	2048;		16518.000000,	0.608930 ;
 9;	50;	7;	2048;		16474.000000,	0.615063 ;
 0;	50;	7;	4096;		16521.000000,	0.638339 ;
 1;	50;	7;	4096;		16511.000000,	0.629207 ;
 2;	50;	7;	4096;		16511.000000,	0.627061 ;
 3;	50;	7;	4096;		16521.000000,	0.623833 ;
 4;	50;	7;	4096;		16516.000000,	0.632634 ;
 5;	50;	7;	4096;		16516.000000,	0.631127 ;
 6;	50;	7;	4096;		16518.000000,	0.630708 ;
 7;	50;	7;	4096;		16519.000000,	0.633568 ;
 8;	50;	7;	4096;		16519.000000,	0.635018 ;
 9;	50;	7;	4096;		16504.000000,	0.625907 ;
 0;	50;	7;	8192;		16521.000000,	0.877649 ;
 1;	50;	7;	8192;		16518.000000,	0.882869 ;
 2;	50;	7;	8192;		16501.000000,	0.878347 ;
 3;	50;	7;	8192;		16519.000000,	0.903185 ;
 4;	50;	7;	8192;		16517.000000,	0.875570 ;
 5;	50;	7;	8192;		16537.000000,	0.880099 ;
 6;	50;	7;	8192;		16518.000000,	0.893583 ;
 7;	50;	7;	8192;		16519.000000,	0.891685 ;
 8;	50;	7;	8192;		16504.000000,	0.846927 ;
 9;	50;	7;	8192;		16504.000000,	0.845578 ;
 End Of Execution 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 0;	50;	6;	1024;		10589.000000,	2.350781 ;
 1;	50;	6;	1024;		10605.000000,	0.365643 ;
 2;	50;	6;	1024;		10605.000000,	0.365408 ;
 3;	50;	6;	1024;		10604.000000,	0.363420 ;
 4;	50;	6;	1024;		10604.000000,	0.363067 ;
 5;	50;	6;	1024;		10604.000000,	0.361530 ;
 6;	50;	6;	1024;		10618.000000,	0.357944 ;
