run; iterations; problem; colony size; Fitness; Total Time 

 10; 50; 7; 1024; 16466; 1.55377
 10; 50; 7; 1024; 16461; 1.50737
 10; 50; 7; 1024; 16439; 1.52069
 10; 50; 7; 1024; 16448; 1.50731
 10; 50; 7; 1024; 16466; 1.50867
 10; 50; 7; 1024; 16467; 1.51738
 10; 50; 7; 1024; 16448; 1.51553
 10; 50; 7; 1024; 16433; 1.52150
 10; 50; 7; 1024; 16433; 1.51948
 10; 50; 7; 1024; 16424; 1.49551
 10; 50; 7; 2048; 16491; 1.51552
 10; 50; 7; 2048; 16479; 1.51797
 10; 50; 7; 2048; 16469; 1.50356
 10; 50; 7; 2048; 16454; 1.51027
 10; 50; 7; 2048; 16495; 1.51792
 10; 50; 7; 2048; 16448; 1.52305
 10; 50; 7; 2048; 16452; 1.51582
 10; 50; 7; 2048; 16474; 1.50765
 10; 50; 7; 2048; 16469; 1.50384
 10; 50; 7; 2048; 16494; 1.52839
 10; 50; 7; 4096; 16498; 1.52025
 10; 50; 7; 4096; 16472; 1.50601
 10; 50; 7; 4096; 16451; 1.52488
 10; 50; 7; 4096; 16490; 1.50485
 10; 50; 7; 4096; 16447; 1.49852
 10; 50; 7; 4096; 16486; 1.50006
 10; 50; 7; 4096; 16492; 1.51036
 10; 50; 7; 4096; 16519; 1.50044
 10; 50; 7; 4096; 16488; 1.49246
 10; 50; 7; 4096; 16481; 1.49856
 10; 50; 7; 8192; 16504; 1.53678
 10; 50; 7; 8192; 16492; 1.51757
 10; 50; 7; 8192; 16494; 1.53236
 10; 50; 7; 8192; 16468; 1.52847
 10; 50; 7; 8192; 16473; 1.54808
 10; 50; 7; 8192; 16498; 1.54923
 10; 50; 7; 8192; 16499; 1.53615
 10; 50; 7; 8192; 16471; 1.54170
 10; 50; 7; 8192; 16481; 1.54020
 10; 50; 7; 8192; 16495; 1.53391
 10; 50; 6; 1024; 10581; 1.05037
 10; 50; 6; 1024; 10618; 0.98449
 10; 50; 6; 1024; 10618; 0.99281
 10; 50; 6; 1024; 10618; 0.98428
 10; 50; 6; 1024; 10601; 0.99303
 10; 50; 6; 1024; 10602; 0.98862
 10; 50; 6; 1024; 10597; 0.98843
 10; 50; 6; 1024; 10618; 0.97911
 10; 50; 6; 1024; 10597; 0.97300
 10; 50; 6; 1024; 10601; 0.98473
 10; 50; 6; 2048; 10618; 0.98357
 10; 50; 6; 2048; 10604; 0.98074
 10; 50; 6; 2048; 10602; 0.99241
 10; 50; 6; 2048; 10604; 0.98818
 10; 50; 6; 2048; 10605; 0.98526
 10; 50; 6; 2048; 10618; 0.99403
 10; 50; 6; 2048; 10605; 0.98450
 10; 50; 6; 2048; 10618; 0.98877
 10; 50; 6; 2048; 10618; 0.99215
 10; 50; 6; 2048; 10602; 0.97717
 10; 50; 6; 4096; 10618; 1.00112
 10; 50; 6; 4096; 10618; 1.00231
 10; 50; 6; 4096; 10618; 0.99803
 10; 50; 6; 4096; 10618; 1.00304
 10; 50; 6; 4096; 10618; 1.00183
 10; 50; 6; 4096; 10618; 0.99234
 10; 50; 6; 4096; 10618; 1.00398
 10; 50; 6; 4096; 10618; 0.99356
 10; 50; 6; 4096; 10618; 1.00233
 10; 50; 6; 4096; 10618; 0.99564
 10; 50; 6; 8192; 10618; 1.01487
 10; 50; 6; 8192; 10618; 1.00066
 10; 50; 6; 8192; 10618; 1.00974
 10; 50; 6; 8192; 10618; 1.01411
 10; 50; 6; 8192; 10618; 1.00957
 10; 50; 6; 8192; 10618; 1.00147
 10; 50; 6; 8192; 10618; 1.00271
 10; 50; 6; 8192; 10618; 1.01334
 10; 50; 6; 8192; 10618; 1.00738
 10; 50; 6; 8192; 10618; 1.01129
 10; 50; 5; 1024; 12400; 0.67378
 10; 50; 5; 1024; 12400; 0.61724
 10; 50; 5; 1024; 12400; 0.61650
 10; 50; 5; 1024; 12400; 0.61884
 10; 50; 5; 1024; 12400; 0.61543
 10; 50; 5; 1024; 12400; 0.61753
 10; 50; 5; 1024; 12400; 0.60754
 10; 50; 5; 1024; 12400; 0.61010
 10; 50; 5; 1024; 12400; 0.61579
 10; 50; 5; 1024; 12400; 0.61787
 10; 50; 5; 2048; 12400; 0.61836
 10; 50; 5; 2048; 12400; 0.62057
 10; 50; 5; 2048; 12400; 0.61871
 10; 50; 5; 2048; 12400; 0.61966
 10; 50; 5; 2048; 12400; 0.61848
 10; 50; 5; 2048; 12400; 0.61753
 10; 50; 5; 2048; 12400; 0.61876
 10; 50; 5; 2048; 12400; 0.61985
 10; 50; 5; 2048; 12400; 0.62007
 10; 50; 5; 2048; 12400; 0.61207
 10; 50; 5; 4096; 12400; 0.61857
 10; 50; 5; 4096; 12400; 0.61792
 10; 50; 5; 4096; 12400; 0.62153
 10; 50; 5; 4096; 12400; 0.62150
 10; 50; 5; 4096; 12400; 0.62040
 10; 50; 5; 4096; 12400; 0.62024
 10; 50; 5; 4096; 12400; 0.62200
 10; 50; 5; 4096; 12400; 0.62418
 10; 50; 5; 4096; 12400; 0.62381
 10; 50; 5; 4096; 12400; 0.62301
 10; 50; 5; 8192; 12400; 0.63516
 10; 50; 5; 8192; 12400; 0.63469
 10; 50; 5; 8192; 12400; 0.63363
 10; 50; 5; 8192; 12400; 0.63437
 10; 50; 5; 8192; 12400; 0.63443
 10; 50; 5; 8192; 12400; 0.63192
 10; 50; 5; 8192; 12400; 0.63217
 10; 50; 5; 8192; 12400; 0.63437
 10; 50; 5; 8192; 12400; 0.63508
 10; 50; 5; 8192; 12400; 0.63617
 10; 50; 4; 1024; 6120; 0.35918
 10; 50; 4; 1024; 6120; 0.29923
 10; 50; 4; 1024; 6120; 0.29739
 10; 50; 4; 1024; 6120; 0.29822
 10; 50; 4; 1024; 6120; 0.29826
 10; 50; 4; 1024; 6120; 0.29945
 10; 50; 4; 1024; 6120; 0.30086
 10; 50; 4; 1024; 6120; 0.29892
 10; 50; 4; 1024; 6120; 0.29750
 10; 50; 4; 1024; 6120; 0.29651
 10; 50; 4; 2048; 6120; 0.29829
 10; 50; 4; 2048; 6120; 0.29772
 10; 50; 4; 2048; 6120; 0.29943
 10; 50; 4; 2048; 6120; 0.30071
 10; 50; 4; 2048; 6120; 0.29827
 10; 50; 4; 2048; 6120; 0.30044
 10; 50; 4; 2048; 6120; 0.29962
 10; 50; 4; 2048; 6120; 0.30042
 10; 50; 4; 2048; 6120; 0.29764
 10; 50; 4; 2048; 6120; 0.29816
 10; 50; 4; 4096; 6120; 0.30483
 10; 50; 4; 4096; 6120; 0.30466
 10; 50; 4; 4096; 6120; 0.30672
 10; 50; 4; 4096; 6120; 0.30710
 10; 50; 4; 4096; 6120; 0.30649
 10; 50; 4; 4096; 6120; 0.30552
 10; 50; 4; 4096; 6120; 0.30590
 10; 50; 4; 4096; 6120; 0.30520
 10; 50; 4; 4096; 6120; 0.30429
 10; 50; 4; 4096; 6120; 0.30324
 10; 50; 4; 8192; 6120; 0.31655
 10; 50; 4; 8192; 6120; 0.31669
 10; 50; 4; 8192; 6120; 0.31710
 10; 50; 4; 8192; 6120; 0.31767
 10; 50; 4; 8192; 6120; 0.31735
 10; 50; 4; 8192; 6120; 0.31825
 10; 50; 4; 8192; 6120; 0.31781
 10; 50; 4; 8192; 6120; 0.31776
 10; 50; 4; 8192; 6120; 0.31743
 10; 50; 4; 8192; 6120; 0.31770
 10; 50; 3; 1024; 4015; 0.26291
 10; 50; 3; 1024; 4015; 0.19684
 10; 50; 3; 1024; 4015; 0.19525
 10; 50; 3; 1024; 4015; 0.19547
 10; 50; 3; 1024; 4015; 0.19557
 10; 50; 3; 1024; 4015; 0.19539
 10; 50; 3; 1024; 4015; 0.19573
 10; 50; 3; 1024; 4015; 0.19533
 10; 50; 3; 1024; 4015; 0.19568
 10; 50; 3; 1024; 4015; 0.19558
 10; 50; 3; 2048; 4015; 0.19683
 10; 50; 3; 2048; 4015; 0.19684
 10; 50; 3; 2048; 4015; 0.19639
 10; 50; 3; 2048; 4015; 0.19645
 10; 50; 3; 2048; 4015; 0.19724
 10; 50; 3; 2048; 4015; 0.19839
 10; 50; 3; 2048; 4015; 0.19819
 10; 50; 3; 2048; 4015; 0.19816
 10; 50; 3; 2048; 4015; 0.19832
 10; 50; 3; 2048; 4015; 0.19803
 10; 50; 3; 4096; 4015; 0.20526
 10; 50; 3; 4096; 4015; 0.20533
 10; 50; 3; 4096; 4015; 0.20530
 10; 50; 3; 4096; 4015; 0.20469
 10; 50; 3; 4096; 4015; 0.20448
 10; 50; 3; 4096; 4015; 0.20445
 10; 50; 3; 4096; 4015; 0.20435
 10; 50; 3; 4096; 4015; 0.20422
 10; 50; 3; 4096; 4015; 0.20464
 10; 50; 3; 4096; 4015; 0.20427
 10; 50; 3; 8192; 4015; 0.21547
 10; 50; 3; 8192; 4015; 0.21527
 10; 50; 3; 8192; 4015; 0.21502
 10; 50; 3; 8192; 4015; 0.21525
 10; 50; 3; 8192; 4015; 0.21451
 10; 50; 3; 8192; 4015; 0.21457
 10; 50; 3; 8192; 4015; 0.21417
 10; 50; 3; 8192; 4015; 0.21405
 10; 50; 3; 8192; 4015; 0.21418
 10; 50; 3; 8192; 4015; 0.21425
 10; 50; 1; 1024; 3800; 0.04316
 10; 50; 1; 1024; 3800; 0.04022
 10; 50; 1; 1024; 3800; 0.03906
 10; 50; 1; 1024; 3800; 0.03893
 10; 50; 1; 1024; 3800; 0.03887
 10; 50; 1; 1024; 3800; 0.03855
 10; 50; 1; 1024; 3800; 0.03851
 10; 50; 1; 1024; 3800; 0.03198
 10; 50; 1; 1024; 3800; 0.03023
 10; 50; 1; 1024; 3800; 0.03015
 10; 50; 1; 2048; 3800; 0.03270
 10; 50; 1; 2048; 3800; 0.03274
 10; 50; 1; 2048; 3800; 0.03276
 10; 50; 1; 2048; 3800; 0.03282
 10; 50; 1; 2048; 3800; 0.03284
 10; 50; 1; 2048; 3800; 0.03280
 10; 50; 1; 2048; 3800; 0.03285
 10; 50; 1; 2048; 3800; 0.03284
 10; 50; 1; 2048; 3800; 0.03284
 10; 50; 1; 2048; 3800; 0.03292
 10; 50; 1; 4096; 3800; 0.03770
 10; 50; 1; 4096; 3800; 0.03733
 10; 50; 1; 4096; 3800; 0.03731
 10; 50; 1; 4096; 3800; 0.03728
 10; 50; 1; 4096; 3800; 0.03736
 10; 50; 1; 4096; 3800; 0.03733
 10; 50; 1; 4096; 3800; 0.03733
 10; 50; 1; 4096; 3800; 0.03745
 10; 50; 1; 4096; 3800; 0.03736
 10; 50; 1; 4096; 3800; 0.03733
 10; 50; 1; 8192; 3800; 0.04692
 10; 50; 1; 8192; 3800; 0.04686
 10; 50; 1; 8192; 3800; 0.04690
 10; 50; 1; 8192; 3800; 0.04680
 10; 50; 1; 8192; 3800; 0.04714
 10; 50; 1; 8192; 3800; 0.04693
 10; 50; 1; 8192; 3800; 0.04683
 10; 50; 1; 8192; 3800; 0.04683
 10; 50; 1; 8192; 3800; 0.04685
 10; 50; 1; 8192; 3800; 0.04691
