run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 8192; 3800; 0.02039
 10; 50; 1; 8192; 3800; 0.01196
 10; 50; 1; 8192; 3800; 0.01111
 10; 50; 1; 8192; 3800; 0.01112
 10; 50; 1; 8192; 3800; 0.01106
 10; 50; 1; 8192; 3800; 0.01164
 10; 50; 1; 8192; 3800; 0.01111
 10; 50; 1; 8192; 3800; 0.01114
 10; 50; 1; 8192; 3800; 0.01125
 10; 50; 1; 8192; 3800; 0.01125
 10; 50; 1; 4096; 3800; 0.01053
 10; 50; 1; 4096; 3800; 0.01048
 10; 50; 1; 4096; 3800; 0.01051
 10; 50; 1; 4096; 3800; 0.01040
 10; 50; 1; 4096; 3800; 0.01089
 10; 50; 1; 4096; 3800; 0.01052
 10; 50; 1; 4096; 3800; 0.01071
 10; 50; 1; 4096; 3800; 0.01029
 10; 50; 1; 4096; 3800; 0.01032
 10; 50; 1; 4096; 3800; 0.01794
 10; 50; 1; 2048; 3800; 0.01001
 10; 50; 1; 2048; 3800; 0.01010
 10; 50; 1; 2048; 3800; 0.01004
 10; 50; 1; 2048; 3800; 0.01695
 10; 50; 1; 2048; 3800; 0.01005
 10; 50; 1; 2048; 1264800984; 0.01005
 10; 50; 1; 2048; 1504486469; 0.01612
 10; 50; 1; 2048; 1379037702; 0.00998
 10; 50; 1; 2048; 1737424016; 0.00984
 10; 50; 1; 2048; 1427945716; 0.00999
 10; 50; 1; 1024; 3800; 0.00966
 10; 50; 1; 1024; 3800; 0.01491
 10; 50; 1; 1024; 3800; 0.00968
 10; 50; 1; 1024; 3800; 0.00954
 10; 50; 1; 1024; 3800; 0.00942
 10; 50; 1; 1024; 3800; 0.00932
 10; 50; 1; 1024; 3800; 0.00937
 10; 50; 1; 1024; 3800; 0.00933
 10; 50; 1; 1024; 3800; 0.00929
 10; 50; 1; 1024; 3800; 0.00926
 10; 50; 3; 8192; 4015; 0.06090
 10; 50; 3; 8192; 4015; 0.05499
 10; 50; 3; 8192; 4015; 0.05434
 10; 50; 3; 8192; 4015; 0.05528
 10; 50; 3; 8192; 4015; 0.05529
 10; 50; 3; 8192; 4015; 0.05535
 10; 50; 3; 8192; 4015; 0.05501
 10; 50; 3; 8192; 4015; 0.05455
 10; 50; 3; 8192; 4015; 0.05428
 10; 50; 3; 8192; 4015; 0.05458
 10; 50; 3; 4096; 4015; 0.05171
 10; 50; 3; 4096; 4015; 0.05097
 10; 50; 3; 4096; 4015; 0.05241
 10; 50; 3; 4096; 4015; 0.04705
 10; 50; 3; 4096; 4015; 0.05231
 10; 50; 3; 4096; 4015; 0.04738
 10; 50; 3; 4096; 4015; 0.05140
 10; 50; 3; 4096; 4015; 0.05108
 10; 50; 3; 4096; 4015; 0.05109
 10; 50; 3; 4096; 4015; 0.05112
 10; 50; 3; 2048; 4015; 0.05012
 10; 50; 3; 2048; 4015; 0.04615
 10; 50; 3; 2048; 4015; 0.05557
 10; 50; 3; 2048; 4015; 0.04596
 10; 50; 3; 2048; 4015; 0.04598
 10; 50; 3; 2048; 4015; 0.04934
 10; 50; 3; 2048; 4015; 0.04897
 10; 50; 3; 2048; 4015; 0.04484
 10; 50; 3; 2048; 4015; 0.04911
 10; 50; 3; 2048; 4015; 0.04521
 10; 50; 3; 1024; 4015; 0.04532
 10; 50; 3; 1024; 4015; 0.04491
 10; 50; 3; 1024; 4015; 0.04554
 10; 50; 3; 1024; 4015; 0.04523
 10; 50; 3; 1024; 4015; 0.04498
 10; 50; 3; 1024; 4015; 0.04495
 10; 50; 3; 1024; 4015; 0.04500
 10; 50; 3; 1024; 4015; 0.04494
 10; 50; 3; 1024; 4015; 0.04476
 10; 50; 3; 1024; 4015; 0.04462
 10; 50; 5; 8192; 12400; 0.17109
 10; 50; 5; 8192; 12400; 0.18109
 10; 50; 5; 8192; 12400; 0.16806
 10; 50; 5; 8192; 12400; 0.16973
 10; 50; 5; 8192; 12400; 0.19268
 10; 50; 5; 8192; 12400; 0.17820
 10; 50; 5; 8192; 12400; 0.17063
 10; 50; 5; 8192; 12400; 0.17588
 10; 50; 5; 8192; 12400; 0.17518
 10; 50; 5; 8192; 12400; 0.16790
 10; 50; 5; 4096; 12400; 0.15928
 10; 50; 5; 4096; 12400; 0.15749
 10; 50; 5; 4096; 12400; 0.16567
 10; 50; 5; 4096; 12400; 0.15511
 10; 50; 5; 4096; 12400; 0.15620
 10; 50; 5; 4096; 12400; 0.17211
 10; 50; 5; 4096; 12400; 0.15800
 10; 50; 5; 4096; 12400; 0.15949
 10; 50; 5; 4096; 12400; 0.15784
 10; 50; 5; 4096; 12400; 0.16027
 10; 50; 5; 2048; 12400; 0.15974
 10; 50; 5; 2048; 12400; 0.15782
 10; 50; 5; 2048; 12400; 0.15547
 10; 50; 5; 2048; 12400; 0.15422
 10; 50; 5; 2048; 12400; 0.15822
 10; 50; 5; 2048; 12400; 0.15353
 10; 50; 5; 2048; 12400; 0.15308
 10; 50; 5; 2048; 12400; 0.15398
 10; 50; 5; 2048; 12400; 0.15687
 10; 50; 5; 2048; 12400; 0.15319
 10; 50; 5; 1024; 12380; 0.14525
 10; 50; 5; 1024; 12400; 0.14628
 10; 50; 5; 1024; 12400; 0.16325
 10; 50; 5; 1024; 12400; 0.16585
 10; 50; 5; 1024; 12400; 0.15417
 10; 50; 5; 1024; 12400; 0.15417
 10; 50; 5; 1024; 12400; 0.15331
 10; 50; 5; 1024; 12400; 0.15738
 10; 50; 5; 1024; 12400; 0.15351
 10; 50; 5; 1024; 12400; 0.15726
