run;iterations;problem;ants;OptSolution;totaltime

 30; 50; 1; 8192; 3800; 0.02009
 30; 50; 1; 8192; 3800; 0.01149
 30; 50; 1; 8192; 3800; 0.01084
 30; 50; 1; 8192; 3800; 0.01075
 30; 50; 1; 8192; 3800; 0.01083
 30; 50; 1; 8192; 3800; 0.01105
 30; 50; 1; 8192; 3800; 0.01086
 30; 50; 1; 8192; 3800; 0.01079
 30; 50; 1; 8192; 3800; 0.01082
 30; 50; 1; 8192; 3800; 0.01082
 30; 50; 1; 8192; 1805045958; 0.01142
 30; 50; 1; 8192; 1778460602; 0.01079
 30; 50; 1; 8192; 2084078272; 0.01120
 30; 50; 1; 8192; 1481481912; 0.01075
 30; 50; 1; 8192; 2029032383; 0.01132
 30; 50; 1; 8192; 1527680874; 0.01083
 30; 50; 1; 8192; 1664738915; 0.01073
 30; 50; 1; 8192; 1714612312; 0.01076
 30; 50; 1; 8192; 1819487375; 0.01115
 30; 50; 1; 8192; 1071998853; 0.01071
 30; 50; 1; 8192; 2002866582; 0.01106
 30; 50; 1; 8192; 1870351982; 0.01080
 30; 50; 1; 8192; 2040807609; 0.01068
 30; 50; 1; 8192; 1590742883; 0.01074
 30; 50; 1; 8192; 1969329560; 0.01087
 30; 50; 1; 8192; 1985552575; 0.01087
 30; 50; 1; 8192; 1122552813; 0.01077
 30; 50; 1; 8192; 1493828040; 0.01076
 30; 50; 1; 8192; 1513453189; 0.01085
 30; 50; 1; 8192; 1808273209; 0.01067
 30; 50; 1; 4096; 3800; 0.00968
 30; 50; 1; 4096; 3800; 0.00959
 30; 50; 1; 4096; 3800; 0.00971
 30; 50; 1; 4096; 3800; 0.00965
 30; 50; 1; 4096; 3800; 0.00972
 30; 50; 1; 4096; 3800; 0.00968
 30; 50; 1; 4096; 3800; 0.00994
 30; 50; 1; 4096; 3800; 0.00975
 30; 50; 1; 4096; 3800; 0.01019
 30; 50; 1; 4096; 3800; 0.00964
 30; 50; 1; 4096; 3800; 0.01017
 30; 50; 1; 4096; 3800; 0.00972
 30; 50; 1; 4096; 3800; 0.00969
 30; 50; 1; 4096; 3800; 0.00961
 30; 50; 1; 4096; 3800; 0.00976
 30; 50; 1; 4096; 3800; 0.00972
 30; 50; 1; 4096; 3800; 0.00985
 30; 50; 1; 4096; 3800; 0.00963
 30; 50; 1; 4096; 3800; 0.01003
 30; 50; 1; 4096; 3800; 0.00971
 30; 50; 1; 4096; 3800; 0.00970
 30; 50; 1; 4096; 3800; 0.00971
 30; 50; 1; 4096; 3800; 0.00974
 30; 50; 1; 4096; 3800; 0.00970
 30; 50; 1; 4096; 3800; 0.00975
 30; 50; 1; 4096; 3800; 0.00952
 30; 50; 1; 4096; 3800; 0.01017
 30; 50; 1; 4096; 3800; 0.00966
 30; 50; 1; 4096; 3800; 0.00969
 30; 50; 1; 4096; 3800; 0.00968
 30; 50; 1; 2048; 3800; 0.00932
 30; 50; 1; 2048; 3800; 0.00927
 30; 50; 1; 2048; 3800; 0.00929
 30; 50; 1; 2048; 3800; 0.00932
 30; 50; 1; 2048; 3800; 0.00927
 30; 50; 1; 2048; 3800; 0.00927
 30; 50; 1; 2048; 3800; 0.00928
 30; 50; 1; 2048; 3800; 0.00932
 30; 50; 1; 2048; 3800; 0.00981
 30; 50; 1; 2048; 3800; 0.00928
 30; 50; 1; 2048; 3800; 0.00967
 30; 50; 1; 2048; 1539716191; 0.00927
 30; 50; 1; 2048; 1888513889; 0.00928
 30; 50; 1; 2048; 1201723820; 0.00929
 30; 50; 1; 2048; 3800; 0.00928
 30; 50; 1; 2048; 3800; 0.00929
 30; 50; 1; 2048; 1065817275; 0.00929
 30; 50; 1; 2048; 1065801525; 0.00930
 30; 50; 1; 2048; 2055686614; 0.00929
 30; 50; 1; 2048; 1068994655; 0.00931
 30; 50; 1; 2048; 1458803024; 0.00931
 30; 50; 1; 2048; 1065898199; 0.00929
 30; 50; 1; 2048; 1184423269; 0.00932
 30; 50; 1; 2048; 1070857797; 0.00931
 30; 50; 1; 2048; 1065808517; 0.00936
 30; 50; 1; 2048; 1068378706; 0.00948
 30; 50; 1; 2048; 1390747348; 0.00929
 30; 50; 1; 2048; 1068956256; 0.00931
 30; 50; 1; 2048; 1070863375; 0.00928
 30; 50; 1; 2048; 1066718983; 0.00930
 30; 50; 1; 1024; 3800; 0.00882
 30; 50; 1; 1024; 3800; 0.00882
 30; 50; 1; 1024; 3800; 0.00881
 30; 50; 1; 1024; 3800; 0.00885
 30; 50; 1; 1024; 3800; 0.00945
 30; 50; 1; 1024; 3800; 0.00890
 30; 50; 1; 1024; 3800; 0.00880
 30; 50; 1; 1024; 3800; 0.00891
 30; 50; 1; 1024; 3800; 0.00880
 30; 50; 1; 1024; 3800; 0.00883
 30; 50; 1; 1024; 3800; 0.00886
 30; 50; 1; 1024; 3800; 0.00878
 30; 50; 1; 1024; 3800; 0.00880
 30; 50; 1; 1024; 3800; 0.00880
 30; 50; 1; 1024; 3800; 0.00893
 30; 50; 1; 1024; 3800; 0.00885
 30; 50; 1; 1024; 3800; 0.00878
 30; 50; 1; 1024; 3800; 0.00879
 30; 50; 1; 1024; 3800; 0.00890
 30; 50; 1; 1024; 3800; 0.00884
 30; 50; 1; 1024; 3800; 0.00887
 30; 50; 1; 1024; 3800; 0.00879
 30; 50; 1; 1024; 3800; 0.00881
 30; 50; 1; 1024; 3800; 0.00882
 30; 50; 1; 1024; 3800; 0.00894
 30; 50; 1; 1024; 3800; 0.00885
 30; 50; 1; 1024; 3800; 0.00881
 30; 50; 1; 1024; 3800; 0.00881
 30; 50; 1; 1024; 3800; 0.00880
 30; 50; 1; 1024; 3800; 0.00879
 30; 50; 6; 8192; 10580; 0.28672
 30; 50; 6; 8192; 10573; 0.26857
 30; 50; 6; 8192; 10604; 0.26990
 30; 50; 6; 8192; 10556; 0.26798
 30; 50; 6; 8192; 10586; 0.26612
 30; 50; 6; 8192; 10585; 0.26726
 30; 50; 6; 8192; 10577; 0.26718
 30; 50; 6; 8192; 10573; 0.26589
 30; 50; 6; 8192; 10604; 0.26477
 30; 50; 6; 8192; 10553; 0.26591
 30; 50; 6; 8192; 10569; 0.26392
 30; 50; 6; 8192; 10586; 0.26603
 30; 50; 6; 8192; 10570; 0.26405
 30; 50; 6; 8192; 10564; 0.26430
 30; 50; 6; 8192; 10534; 0.26442
 30; 50; 6; 8192; 10564; 0.26428
 30; 50; 6; 8192; 10577; 0.26461
 30; 50; 6; 8192; 10585; 0.26422
 30; 50; 6; 8192; 10601; 0.26513
 30; 50; 6; 8192; 10586; 0.26374
 30; 50; 6; 8192; 10566; 0.26522
 30; 50; 6; 8192; 10602; 0.26586
 30; 50; 6; 8192; 10581; 0.26531
 30; 50; 6; 8192; 10543; 0.26774
 30; 50; 6; 8192; 10562; 0.26768
 30; 50; 6; 8192; 10584; 0.26774
 30; 50; 6; 8192; 10588; 0.26669
 30; 50; 6; 8192; 10588; 0.26505
 30; 50; 6; 8192; 10584; 0.26408
 30; 50; 6; 8192; 10563; 0.26402
 30; 50; 6; 4096; 10572; 0.22843
 30; 50; 6; 4096; 10557; 0.22681
 30; 50; 6; 4096; 10540; 0.22767
 30; 50; 6; 4096; 10553; 0.22736
 30; 50; 6; 4096; 10576; 0.22660
 30; 50; 6; 4096; 10557; 0.22866
 30; 50; 6; 4096; 10585; 0.22645
 30; 50; 6; 4096; 10548; 0.22768
 30; 50; 6; 4096; 10532; 0.22687
 30; 50; 6; 4096; 10589; 0.23022
 30; 50; 6; 4096; 10553; 0.22924
 30; 50; 6; 4096; 10570; 0.23051
 30; 50; 6; 4096; 10605; 0.23122
 30; 50; 6; 4096; 10586; 0.22845
 30; 50; 6; 4096; 10557; 0.22816
 30; 50; 6; 4096; 10573; 0.23165
 30; 50; 6; 4096; 10618; 0.23064
 30; 50; 6; 4096; 10586; 0.23116
 30; 50; 6; 4096; 10597; 0.23026
 30; 50; 6; 4096; 10538; 0.22950
 30; 50; 6; 4096; 10546; 0.22834
 30; 50; 6; 4096; 10543; 0.22906
 30; 50; 6; 4096; 10566; 0.23002
 30; 50; 6; 4096; 10566; 0.23012
 30; 50; 6; 4096; 10547; 0.22871
 30; 50; 6; 4096; 10569; 0.22956
 30; 50; 6; 4096; 10570; 0.23269
 30; 50; 6; 4096; 10560; 0.23211
 30; 50; 6; 4096; 10545; 0.22955
 30; 50; 6; 4096; 10546; 0.22970
 30; 50; 6; 2048; 10549; 0.22700
 30; 50; 6; 2048; 10567; 0.22582
 30; 50; 6; 2048; 10573; 0.22667
 30; 50; 6; 2048; 10572; 0.22667
 30; 50; 6; 2048; 10524; 0.22604
 30; 50; 6; 2048; 10524; 0.22569
 30; 50; 6; 2048; 10584; 0.22639
 30; 50; 6; 2048; 10588; 0.22723
 30; 50; 6; 2048; 10533; 0.22676
 30; 50; 6; 2048; 10553; 0.22609
 30; 50; 6; 2048; 10586; 0.22698
 30; 50; 6; 2048; 10569; 0.22702
 30; 50; 6; 2048; 10568; 0.22782
 30; 50; 6; 2048; 10588; 0.22561
 30; 50; 6; 2048; 10553; 0.22766
 30; 50; 6; 2048; 10571; 0.22632
 30; 50; 6; 2048; 10520; 0.22850
 30; 50; 6; 2048; 10582; 0.22629
 30; 50; 6; 2048; 10586; 0.22201
 30; 50; 6; 2048; 10536; 0.22373
 30; 50; 6; 2048; 10580; 0.22227
 30; 50; 6; 2048; 10569; 0.22423
 30; 50; 6; 2048; 10573; 0.22356
 30; 50; 6; 2048; 10577; 0.22505
 30; 50; 6; 2048; 10568; 0.22416
 30; 50; 6; 2048; 10557; 0.22553
 30; 50; 6; 2048; 10584; 0.22337
 30; 50; 6; 2048; 10541; 0.22518
 30; 50; 6; 2048; 10550; 0.22378
 30; 50; 6; 2048; 10548; 0.22580
 30; 50; 6; 1024; 10493; 0.22440
 30; 50; 6; 1024; 10559; 0.22512
 30; 50; 6; 1024; 10524; 0.22598
 30; 50; 6; 1024; 10535; 0.22536
 30; 50; 6; 1024; 10577; 0.22520
 30; 50; 6; 1024; 10573; 0.22613
 30; 50; 6; 1024; 10547; 0.22544
 30; 50; 6; 1024; 10560; 0.22437
 30; 50; 6; 1024; 10478; 0.22397
 30; 50; 6; 1024; 10584; 0.22363
 30; 50; 6; 1024; 10532; 0.22574
 30; 50; 6; 1024; 10523; 0.22435
 30; 50; 6; 1024; 10522; 0.22581
 30; 50; 6; 1024; 10556; 0.22522
 30; 50; 6; 1024; 10525; 0.22644
 30; 50; 6; 1024; 10577; 0.22532
 30; 50; 6; 1024; 10526; 0.22601
 30; 50; 6; 1024; 10485; 0.22417
 30; 50; 6; 1024; 10588; 0.22110
 30; 50; 6; 1024; 10567; 0.22645
 30; 50; 6; 1024; 10570; 0.22163
 30; 50; 6; 1024; 10577; 0.22643
 30; 50; 6; 1024; 10530; 0.22239
 30; 50; 6; 1024; 10546; 0.22518
 30; 50; 6; 1024; 10564; 0.22138
 30; 50; 6; 1024; 10452; 0.22579
 30; 50; 6; 1024; 10502; 0.22153
 30; 50; 6; 1024; 10605; 0.22544
 30; 50; 6; 1024; 10561; 0.22076
 30; 50; 6; 1024; 10580; 0.22527
