run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024;
 10; 50; 3; 1024;
 10; 50; 4; 1024;
 10; 50; 5; 1024;
 10; 50; 6; 1024; 10602.00; 1.46727
 10; 50; 6; 1024; 10585.00; 1.43460
 10; 50; 6; 1024; 10618.00; 1.42405
 10; 50; 6; 1024; 10605.00; 1.46695
 10; 50; 6; 1024; 10618.00; 1.46772
 10; 50; 6; 1024; 10601.00; 1.47694
 10; 50; 6; 1024; 10618.00; 1.43063
 10; 50; 6; 1024; 10604.00; 1.44852
 10; 50; 6; 1024; 10618.00; 1.42254
 10; 50; 6; 1024; 10618.00; 1.37123
 10; 50; 6; 2048; 10618.00; 1.74981
 10; 50; 6; 2048; 10605.00; 1.72988
 10; 50; 6; 2048; 10618.00; 1.76630
 10; 50; 6; 2048; 10602.00; 1.78454
 10; 50; 6; 2048; 10605.00; 1.78958
 10; 50; 6; 2048; 10618.00; 1.78455
 10; 50; 6; 2048; 10605.00; 1.74285
 10; 50; 6; 2048; 10602.00; 1.76825
 10; 50; 6; 2048; 10589.00; 1.81061
 10; 50; 6; 2048; 10601.00; 1.73211
 10; 50; 6; 4096; 10618.00; 2.48660
 10; 50; 6; 4096; 10618.00; 2.54067
 10; 50; 6; 4096; 10618.00; 2.43021
 10; 50; 6; 4096; 10605.00; 2.49399
 10; 50; 6; 4096; 10618.00; 2.48359
 10; 50; 6; 4096; 10618.00; 2.53482
 10; 50; 6; 4096; 10604.00; 2.50142
 10; 50; 6; 4096; 10618.00; 2.50137
 10; 50; 6; 4096; 10618.00; 2.48611
 10; 50; 6; 4096; 10605.00; 2.57104
 10; 50; 6; 8192; 10618.00; 4.00883
 10; 50; 6; 8192; 10618.00; 3.96771
 10; 50; 6; 8192; 10618.00; 3.96789
 10; 50; 6; 8192; 10618.00; 3.93833
 10; 50; 6; 8192; 10602.00; 3.96707
 10; 50; 6; 8192; 10618.00; 3.87489
 10; 50; 6; 8192; 10618.00; 3.87924
 10; 50; 6; 8192; 10618.00; 4.02537
 10; 50; 6; 8192; 10618.00; 4.09308
 10; 50; 6; 8192; 10618.00; 4.24172
 10; 50; 7; 1024; 16432.00; 1.97610
 10; 50; 7; 1024; 16451.00; 2.00166
 10; 50; 7; 1024; 16494.00; 1.97550
 10; 50; 7; 1024; 16444.00; 1.93335
 10; 50; 7; 1024; 16421.00; 1.98875
 10; 50; 7; 1024; 16441.00; 1.98144
 10; 50; 7; 1024; 16456.00; 2.00064
 10; 50; 7; 1024; 16426.00; 1.93149
 10; 50; 7; 1024; 16483.00; 2.00190
 10; 50; 7; 1024; 16432.00; 1.92893
 10; 50; 7; 2048; 16471.00; 2.33449
 10; 50; 7; 2048; 16494.00; 2.30626
 10; 50; 7; 2048; 16468.00; 2.36481
 10; 50; 7; 2048; 16455.00; 2.29314
 10; 50; 7; 2048; 16472.00; 2.30011
 10; 50; 7; 2048; 16449.00; 2.27935
 10; 50; 7; 2048; 16485.00; 2.36193
 10; 50; 7; 2048; 16458.00; 2.35683
 10; 50; 7; 2048; 16481.00; 2.32900
 10; 50; 7; 2048; 16517.00; 2.31168
 10; 50; 7; 4096; 16482.00; 3.01083
 10; 50; 7; 4096; 16507.00; 3.03209
 10; 50; 7; 4096; 16463.00; 3.04329
 10; 50; 7; 4096; 16469.00; 3.00566
 10; 50; 7; 4096; 16507.00; 3.04683
 10; 50; 7; 4096; 16463.00; 3.01360
 10; 50; 7; 4096; 16474.00; 3.05194
 10; 50; 7; 4096; 16509.00; 2.95169
 10; 50; 7; 4096; 16467.00; 3.07652
 10; 50; 7; 4096; 16466.00; 2.99327
 10; 50; 7; 8192; 16488.00; 4.34518
 10; 50; 7; 8192; 16478.00; 4.65360
 10; 50; 7; 8192; 16473.00; 5.03782
 10; 50; 7; 8192; 16494.00; 4.83198
 10; 50; 7; 8192; 16504.00; 5.05109
 10; 50; 7; 8192; 16473.00; 4.35327
 10; 50; 7; 8192; 16465.00; 4.38954
 10; 50; 7; 8192; 16503.00; 4.45197
 10; 50; 7; 8192; 16466.00; 4.38363
 10; 50; 7; 8192; 16470.00; 4.48833
