Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;

1;15;1;1024;0;9999.99900;0.22786; 
2;15;1;1024;0;9999.99900;0.21049; 
3;15;1;1024;0;9999.99900;0.19281; 
4;15;1;1024;0;9999.99900;0.20849; 
5;15;1;1024;0;9999.99900;0.20846; 
6;15;1;1024;0;9999.99900;0.24328; 
7;15;1;1024;0;9999.99900;0.20791; 
8;15;1;1024;0;9999.99900;0.20728; 
9;15;1;1024;0;9999.99900;0.20711; 
10;15;1;1024;0;9999.99900;0.20808; 
11;15;1;1024;0;9999.99900;0.20707; 
12;15;1;1024;0;9999.99900;0.20774; 
13;15;1;1024;0;9999.99900;0.24114; 
14;15;1;1024;0;9999.99900;0.19766; 
15;15;1;1024;0;9999.99900;0.20746; 
16;15;1;1024;0;9999.99900;0.20840; 
17;15;1;1024;0;9999.99900;0.23621; 
18;15;1;1024;0;9999.99900;0.19535; 
19;15;1;1024;0;9999.99900;0.20835; 
20;15;1;1024;0;9999.99900;0.20638; 
21;15;1;1024;0;9999.99900;0.21175; 
22;15;1;1024;0;9999.99900;0.18337; 
23;15;1;1024;0;9999.99900;0.20500; 
24;15;1;1024;0;9999.99900;0.22730; 
25;15;1;1024;0;9999.99900;0.22450; 
26;15;1;1024;0;9999.99900;0.20776; 
27;15;1;1024;0;9999.99900;0.20816; 
28;15;1;1024;0;9999.99900;0.23767; 
29;15;1;1024;0;9999.99900;0.17181; 
30;15;1;1024;0;9999.99900;0.20795; 
1;15;1;2048;0;9999.99900;0.20054; 
2;15;1;2048;0;9999.99900;0.19951; 
3;15;1;2048;0;9999.99900;0.17462; 
4;15;1;2048;0;9999.99900;0.20398; 
5;15;1;2048;0;9999.99900;0.20622; 
6;15;1;2048;0;9999.99900;0.20486; 
7;15;1;2048;0;9999.99900;0.20543; 
8;15;1;2048;0;9999.99900;0.20530; 
9;15;1;2048;0;9999.99900;0.21204; 
10;15;1;2048;0;9999.99900;0.15735; 
11;15;1;2048;0;9999.99900;0.20553; 
12;15;1;2048;0;9999.99900;0.20516; 
13;15;1;2048;0;9999.99900;0.22857; 
14;15;1;2048;0;9999.99900;0.21722; 
15;15;1;2048;0;9999.99900;0.20613; 
16;15;1;2048;0;9999.99900;0.20552; 
17;15;1;2048;0;9999.99900;0.20606; 
18;15;1;2048;0;9999.99900;0.16450; 
19;15;1;2048;0;9999.99900;0.19010; 
20;15;1;2048;0;9999.99900;0.19109; 
21;15;1;2048;0;9999.99900;0.20439; 
22;15;1;2048;0;9999.99900;0.20380; 
23;15;1;2048;0;9999.99900;0.20668; 
24;15;1;2048;0;9999.99900;0.24867; 
25;15;1;2048;0;9999.99900;0.15158; 
26;15;1;2048;0;9999.99900;0.20516; 
27;15;1;2048;0;9999.99900;0.20455; 
28;15;1;2048;0;9999.99900;0.25759; 
29;15;1;2048;0;9999.99900;0.19238; 
30;15;1;2048;0;9999.99900;0.20291; 
1;15;1;4096;0;9999.99900;0.20601; 
2;15;1;4096;0;9999.99900;0.19210; 
3;15;1;4096;0;9999.99900;0.20456; 
4;15;1;4096;0;9999.99900;0.20523; 
5;15;1;4096;0;9999.99900;0.21072; 
6;15;1;4096;0;9999.99900;0.22258; 
7;15;1;4096;0;9999.99900;0.20182; 
8;15;1;4096;0;9999.99900;0.20629; 
9;15;1;4096;0;9999.99900;0.20205; 
10;15;1;4096;0;9999.99900;0.16532; 
11;15;1;4096;0;9999.99900;0.16753; 
12;15;1;4096;0;9999.99900;0.20446; 
13;15;1;4096;0;9999.99900;0.19038; 
14;15;1;4096;0;9999.99900;0.16478; 
15;15;1;4096;0;9999.99900;0.20485; 
16;15;1;4096;0;9999.99900;0.20668; 
